12345,RedCrossOrg,malmö,0723646982,RedCrossOrg,redcrosspassword
67891,SweFood,göteborg,0784278782,SweFood,SweFoodpassword
10876,Foodforall,helsinborg,0729875982,Foodforall,Foodforallpassword
57579,Smile,kristianstad,0723682382, Smile,Smilepassword
33456,Savefood,stockholm,0763675982,Savefood,Savefoodpassword
98528,WorldCentralKitchen,mälmo,0733675992,WorldKitchen,worldcentralkitchenpassword
48521,CurryWithoutWorry,lund,0723643982,CurryWorry009,curryworrypassword
97523,MealShare,varberg,0763624882,mealshare,mealpassword
11532,HashtagLunchbag,uppsala,0763679992,Hashtag,hashtaglunchbagpassword
45665,WorldFoodProgram,vaxjö,0763343982,WFP,WFPpassword
